category_key,category_id,category_name
13,nocategory.13,13.10 Special education and teaching
12,nocategory.12,13.09 Social and philosophical foundations of education
15,nocategory.15,"13.12 Teacher education and professional development, specific levels and methods"
14,nocategory.14,13.11 Student counselling and personnel services
17,nocategory.17,13.14 Teaching English or French as a second or foreign language
16,nocategory.16,"13.13 Teacher education and professional development, specific subject areas"
19,nocategory.19,"13.99 Education, other"
18,nocategory.18,13.15 Teaching assistants/aides
62,nocategory.62,"24. Liberal arts and sciences, general studies and humanities"
322,nocategory.322,47. Mechanic and repair technologies/technicians
323,nocategory.323,"47.00 Mechanics and repairers, general"
320,nocategory.320,46.05 Plumbing and related water supply services
321,nocategory.321,"46.99 Construction trades, other"
326,nocategory.326,47.03 Heavy/industrial equipment maintenance technologies
327,nocategory.327,47.04 Precision systems maintenance and repair technologies
324,nocategory.324,47.01 Electrical/electronics maintenance and repair technology
325,nocategory.325,"47.02 Heating, air conditioning, ventilation and refrigeration maintenance technology/technician"
328,nocategory.328,47.05 Stationary energy sources installer and operator
329,nocategory.329,47.06 Vehicle maintenance and repair technologies
201,nocategory.201,30.27 Human biology
200,nocategory.200,30.19 Nutrition sciences
203,nocategory.203,40. Physical sciences
202,nocategory.202,30.32 Marine sciences
205,nocategory.205,40.02 Astronomy and astrophysics
204,nocategory.204,"40.01 Physical sciences, general"
207,nocategory.207,40.05 Chemistry
206,nocategory.206,40.04 Atmospheric sciences and meteorology
209,nocategory.209,40.08 Physics
208,nocategory.208,40.06 Geological and Earth sciences/geosciences
77,nocategory.77,39.05 Religious/sacred music
76,nocategory.76,39.04 Religious education
75,nocategory.75,39.03 Missions/missionary studies and missiology
74,nocategory.74,39.02 Bible/Biblical studies
73,nocategory.73,39. Theology and religious vocations
72,nocategory.72,"38.99 Philosophy and religious studies, other"
71,nocategory.71,38.02 Religion/religious studies
70,nocategory.70,"38.01 Philosophy, logic and ethics"
79,nocategory.79,39.07 Pastoral counselling and specialized ministries
78,nocategory.78,39.06 Theological and ministerial studies
2,nocategory.2,"No postsecondary certificate, diploma or degree"
8,nocategory.8,13.04 Educational administration and supervision
68,nocategory.68,38. Philosophy and religious studies
120,nocategory.120,"30.15 Science, technology and society"
121,nocategory.121,30.17 Behavioural sciences
122,nocategory.122,30.20 International/global studies
123,nocategory.123,30.23 Intercultural/multicultural and diversity studies
124,nocategory.124,30.25 Cognitive science
125,nocategory.125,30.26 Cultural studies/critical theory and analysis
126,nocategory.126,30.28 Dispute resolution
127,nocategory.127,30.31 Human computer interaction
128,nocategory.128,30.33 Sustainability studies
129,nocategory.129,42. Psychology
414,nocategory.414,12.04 Cosmetology and related personal grooming services
415,nocategory.415,12.05 Culinary arts and related services
416,nocategory.416,"12.99 Personal and culinary services, other"
417,nocategory.417,"28. Military science, leadership and operational art"
410,nocategory.410,"60.99 Dental, medical and veterinary residency programs, other"
411,nocategory.411,"Personal, protective and transportation services"
412,nocategory.412,12. Personal and culinary services
413,nocategory.413,12.03 Funeral service and mortuary science
418,nocategory.418,"28.08 Military science, leadership and operational art"
419,nocategory.419,29. Military technologies and applied sciences
319,nocategory.319,"46.04 Building/construction finishing, management and inspection"
318,nocategory.318,46.03 Electrical and power transmission installers
313,nocategory.313,30.12 Historic preservation and conservation
312,nocategory.312,"15.99 Engineering technologies and engineering-related fields, other"
311,nocategory.311,15.16 Nanotechnology
310,nocategory.310,15.15 Engineering-related fields
317,nocategory.317,46.02 Carpentry/carpenter
316,nocategory.316,46.01 Masonry/mason
315,nocategory.315,"46.00 Construction trades, general"
314,nocategory.314,46. Construction trades
3,nocategory.3,Education
368,nocategory.368,51. Health professions and related programs
369,nocategory.369,"51.00 Health services/allied health/health sciences, general"
366,nocategory.366,31.06 Outdoor education
367,nocategory.367,"31.99 Parks, recreation, leisure and fitness studies, other"
364,nocategory.364,"31.03 Parks, recreation and leisure facilities management"
365,nocategory.365,31.05 Health and physical education/fitness
362,nocategory.362,"31. Parks, recreation, leisure and fitness studies"
363,nocategory.363,"31.01 Parks, recreation and leisure studies"
360,nocategory.360,"03.99 Natural resources and conservation, other"
361,nocategory.361,Health and related fields
380,nocategory.380,51.12 Medicine (MD)
381,nocategory.381,"51.14 Medical scientist (MS, MSc, PhD)"
382,nocategory.382,51.15 Mental and social health services and allied professions
383,nocategory.383,51.17 Optometry (OD)
384,nocategory.384,51.18 Ophthalmic and optometric support services and allied professions
