category_key,category_id,category_name
329,442,Legal and public protection support occupations
201,2233,Industrial engineering and manufacturing technologists and technicians
200,2232,Mechanical engineering technologists and technicians
203,224,Technical occupations in electronics and electrical engineering
202,2234,Construction estimators
205,2242,Electronic service technicians (household and business equipment)
204,2241,Electrical and electronics engineering technologists and technicians
207,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
206,2243,Industrial instrument technicians and mechanics
209,2251,Architectural technologists and technicians
208,225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology"
77,11,Professional occupations in business and finance
76,1,"Business, finance and administration occupations"
75,0912,Utilities managers
74,0911,Manufacturing managers
73,091,Managers in manufacturing and utilities
72,0823,Managers in aquaculture
71,0822,Managers in horticulture
70,0821,Managers in agriculture
655,9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing"
79,1111,Financial auditors and accountants
78,111,"Auditors, accountants and investment professionals"
2,nocategory.2,Occupation - Not applicable
669,9522,"Motor vehicle assemblers, inspectors and testers"
668,9521,Aircraft assemblers and aircraft assembly inspectors
667,952,"Mechanical, electrical and electronics assemblers"
666,95,Assemblers in manufacturing
665,9474,Photographic and film processors
664,9473,Binding and finishing machine operators
663,9472,"Camera, platemaking and other prepress occupations"
662,9471,Plateless printing equipment operators
661,947,Printing equipment operators and related occupations
660,9465,"Testers and graders, food, beverage and associated products processing"
692,9618,Labourers in fish and seafood processing
693,9619,"Other labourers in processing, manufacturing and utilities"
690,9616,Labourers in textile processing
691,9617,"Labourers in food, beverage and associated products processing"
542,7451,Longshore workers
543,7452,Material handlers
540,7445,Other repairers and servicers
541,745,Longshore workers and material handlers
546,7511,Transport truck drivers
547,7512,"Bus drivers, subway operators and other transit operators"
544,75,Transport and heavy equipment operation and related maintenance occupations
545,751,Motor vehicle and transit drivers
8,0012,Senior government managers and officials
548,7513,Taxi and limousine drivers and chauffeurs
549,7514,Delivery and courier service drivers
68,0811,Managers in natural resources production and fishing
598,861,"Harvesting, landscaping and natural resources labourers"
120,141,General office workers
121,1411,General office support workers
122,1414,Receptionists
123,1415,Personnel clerks
